Id,Tên trường,Loại hình cơ sở đào tạo,Loại trường,Cơ quan quản lý trực tiếp,Ký hiệu,Tên tiếng Anh,Website,"Tỉnh, thành phố",Được kiểm định bởi tổ chức kiểm định chất lượng giáo dục,Ngày cấp giấy chứng nhận kiểm định chất lượng,Ngày hết hạn giá trị của giấy chứng nhận kiểm định chất lượng
812,ĐẠI HỌC BÁCH KHOA HÀ NỘI,Đại học,Công lập,Bộ Giáo dục và Đào tạo,BKA,Hanoi University of Science and Technology,https://www.hust.edu.vn/,Hà Nội,HCERES,,06/12/2017
795,ĐẠI HỌC ĐÀ NẴNG,Đại học,Công lập,Bộ Giáo dục và Đào tạo,E,The University of Da Nang,http://www.udn.vn,Đà Nẵng,,,
699,ĐẠI HỌC HUẾ,Đại học,Công lập,Bộ Giáo dục và Đào tạo,D,Hue University,https://hueuni.edu.vn/,Thừa Thiên Huế,,,
820,ĐẠI HỌC KINH TẾ TP. HỒ CHÍ MINH,Đại học,Công lập,Bộ Giáo dục và Đào tạo,KSA,University of Economics Ho Chi Minh City,https://www.ueh.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,05/03/2017
722,ĐẠI HỌC QUỐC GIA HÀ NỘI,Đại học,Công lập,,A,"Vietnam National University, Hanoi",https://www.vnu.edu.vn/,Hà Nội,,,
731,ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Đại học,Công lập,,C,"Vietnam National University, Ho Chi Minh City",https://vnuhcm.edu.vn/,TP. Hồ Chí Minh,,,
911,ĐẠI HỌC THÁI NGUYÊN,Đại học,Công lập,Bộ Giáo dục và Đào tạo,B,Thai Nguyen University,http://www.tnu.edu.vn/,Thái Nguyên,,,
875,ĐẠI HỌC Y DƯỢC TP. HỒ CHÍ MINH,Trường đại học,Công lập,Bộ Y tế,YDS,University of Medicine and Pharmacy at Ho Chi Minh City,https://ump.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,16/11/2017
685,HỌC VIỆN ÂM NHẠC HUẾ,Học viện,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",HVA,Hue Academy of Music,http://hocvienamnhachue.edu.vn/,Thừa Thiên Huế,,,
686,HỌC VIỆN ÂM NHẠC QUỐC GIA VIỆT NAM,Học viện,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",NVH,Viet Nam National Academy of Music,https://www.vnam.edu.vn/,Hà Nội,,,
